わかめごはんの素,ＪＦＤＡわかめごはんの素　300ｇ,300,g,690,g,,野口食品,,,,2.3
三島）ゆかり,野口　三島）ゆかり,200,g,505,g,,野口食品,,,,2.525
バター醤油ピラフ,三島）ビュッフェごはんベース　バター醤油ピラフ,700,g,"1,020",g,,野口食品,,,,1.457142857
桜えびごはんの素,三島）　ビュッフェごはんベース桜えびの香り,500,g,"1,020",g,,野口食品,,,,2.04
黒胡麻,JFDA  煎り胡麻　（黒）,"1,000",g,610,g,,野口食品,,,1,0.61
白胡麻,JFDA　煎りごま　（白）,"1,000",g,610,g,,野口食品,,,1,0.61
IFA) 片栗粉,IFA)　北海道産片栗粉,"1,000",g,227,g,,野口食品,,,,0.227
JFDA 薄力粉,ＪＦＤＡ　薄力粉　きさらぎ,"1,000",g,165,g,,野口食品,,,,0.165
野口）カレーフレーク (中辛,SB)とろけるカレーフレーク中辛,"1,000",g,550,g,,野口食品,,,,0.55
SB)カレーフレーク辛口,SB)とろけるカレーフレーク辛口,"1,000",g,650,g,,野口食品,,,,0.65
ローズマリーパウダー,SB）　ローズマリーパウダー,"1,000",g,765,g,,野口食品,,,,0.765
金柑　S,GFC)　黄金きんかｎ　S,55,個,"1,225",個,,野口食品,,,,22.27272727
アーモンドスライス,GFC)  アーモンドスライス,500,g,"1,630",g,,野口食品,,,,3.26
パンプキンサラダ,ケンコー）パンプキンサラダ,"1,000",g,605,g,,野口食品,,,,0.605
スタッフドオリーブ,SO)　スタッフドオリーブ,230,g,340,g,,野口食品,,,,1.47826087
きな粉,みたけ　　きな粉,"1,000",g,420,g,,野口食品,,,1,0.42
パンプキンシート,パンプキンシート　（生）,"1,000",g,"2,650",g,,野口食品,,,,2.65
フライドレンコン,ＱＰ　フライドレンコン,100,g,625,g,,野口食品,,,,6.25
カシューナッツ,ヨコカン　　カシューナッツ,420,g,"1,090",g,,野口食品,,,,2.595238095
野口　スパゲティー,VFJ)スパゲティー（1.6mm),"1,000",g,212,g,,野口食品,,,,0.212
ペンネ,ＩＦＡ　ラティーニ　ペンネ,"1,000",g,230,g,,野口食品,,,,0.23
ジェフダマヨネーズ,ジェフダプラスマヨタイプ50,"1,000",g,300,g,,野口食品,,,,0.3
JFDA タルタルソース,JFDA　タルタルソース,"1,000",g,420,g,,野口食品,,,,0.42
野口　緑豆春雨,緑豆春雨（18ｃｍカット）,500,g,260,g,,野口食品,,,,0.52
弁当用焼海苔,弁当用焼海苔（1/2)  100枚束,100,枚,760,枚,,野口食品,,,,7.6
QP) 青じそドレッシング,ＱＰ）　ノンオイルドレ（青じそ）　15ml,1,個,9,個,,野口食品,,,,9
野口　小袋醤油,ＹＭＳ）　本醸造醤油ミニパック,100,個,200,個,,野口食品,,,,2
理研農産）キャノーラ油,理研農産）　キャノーラ油,"16,500",g,"2,440",g,,野口食品,,,1,0.1478787879
やわらか葱メンマ,やわらか葱メンマ,900,g,880,g,,野口食品,,,,0.9777777778
塩ねぎエリンギ,塩ねぎエリンギ,900,g,"1,050",g,,野口食品,,,,1.166666667
ゆず入りきのこ囃子,ゆず入りきのこ囃子,"1,000",g,"1,070",g,,野口食品,,,,1.07
大根と蒸し鶏の怪味ソースサラダ,F120大根と蒸し鶏の怪味ソースサラダ,900,g,875,g,,野口食品,,,,0.9722222222
甘酢高菜生姜,F120甘酢高菜生姜,"1,000",g,790,g,,野口食品,,,,0.79
冷凍彩りアスパラお浸し,冷凍彩りアスパラお浸し,500,g,540,g,,野口食品,,,,1.08
唐揚げ（食研粉120g）,食研粉使用120→別紙詳細,1,食,59,食,,手仕込み,,,,59
唐揚げ（食研粉140g）,食研粉使用140→別紙詳細,1,食,71,食,,手仕込み,,,,71
外買　パン,外買パン,8,枚,108,枚,,その他,,,,13.5
唐揚げ（仕込み120g）,唐揚げ（仕込み120g）→別紙詳細,1,食,61,食,,手仕込み,,,,61
唐揚げ（仕込み140g）,唐揚げ（仕込み140g）→別紙詳細,1,食,69,食,,手仕込み,,,,69
豚バラスライス　2.0,豚バラスライス　2.0mm,"1,000",g,620,g,,小田島商店,,,,0.62
豚バラスライス　2.5,豚バラスライス　2.5mm,"1,000",g,620,g,,小田島商店,,,,0.62
豚バラスライス　3.0,豚バラスライス　3.0mm,"1,000",g,620,g,,小田島商店,,,,0.62
もち豚うで,もち豚　うで,"1,000",g,780,g,,小田島商店,,,,0.78
豚小間,豚小間,"1,000",g,580,g,,小田島商店,,,,0.58
豚挽き,豚挽き,"1,000",g,480,g,,小田島商店,,,,0.48
豚肩細切り,豚うで千切り,"1,000",g,650,g,,小田島商店,,,,0.65
豚肩ロース,豚肩ロース,"1,000",g,650,g,,小田島商店,,,,0.65
豚ロース,豚ロース,"1,000",g,750,g,,小田島商店,,,,0.75
豚ももスライス,豚ももスライス,"1,000",g,650,g,,小田島商店,,,,0.65
鶏小間,鶏モモ小間,"1,000",g,460,g,,小田島商店,,,,0.46
国産鶏もも,国産　鶏もも,"1,000",g,850,g,,小田島商店,,,,0.85
鶏ももカット20g,鶏ももカット　　20g,"1,000",g,420,g,,小田島商店,,,,0.42
鶏ももカット30,鶏ももカット30,"1,000",g,410,g,,田中屋,,,,0.41
鶏ももカット145,鶏ももカット145g,"1,000",g,460,g,,小田島商店,,,,0.46
鶏ももカット175,鶏ももカット175,"1,000",g,460,g,,小田島商店,,,,0.46
鶏ももブロック,鶏ももブロック,"2,000",g,420,g,,小田島商店,,,,0.21
鶏ムネ,鶏ムネ,"1,000",g,330,g,,小田島商店,,,,0.33
鶏ムネ（皮無し）,鶏ムネ（皮無し）,"1,000",g,360,g,,小田島商店,,,,0.36
鶏モモ切身３５ｇ,鶏モモ切身３５ｇ,"1,000",g,420,g,,小田島商店,,,,0.42
手羽元,手羽元,"1,000",g,470,g,,小田島商店,,,1,0.47
唐揚げ,鶏もも唐揚げ,"1,000",g,480,g,,小田島商店,,,,0.48
鶏竜田,鶏竜田,33,個,580,個,,小田島商店,,,1,17.57575758
鶏挽き,鶏挽き,"1,000",g,330,g,,小田島商店,,,,0.33
合挽肉,合挽肉,"1,000",g,800,g,,小田島商店,,,,0.8
ラム,ラム,"1,000",g,"1,350",g,,小田島商店,,,1,1.35
三元豚,三元豚,"1,000",g,"1,000",g,,小田島商店,,,1,1
牛バラスライス,牛バラスライス,"1,000",g,850,g,,小田島商店,,,,0.85
牛小間,牛小間,"1,000",g,550,g,,小田島商店,,,,0.55
牛肩ロース,牛肩ロース,"1,000",g,950,g,,小田島商店,,,,0.95
ピートロ（豚トロ）,ピートロスライス,"1,000",g,950,g,,小田島商店,,,,0.95
軟骨挽き,鶏ナンコツ挽き,"1,000",g,900,g,,小田島商店,,,1,0.9
ハンバーグシート,ハンバーグシート,"1,000",g,395,g,,小田島商店,,,1,0.395
鴨ムネ,鴨ムネ,"1,000",g,"1,550",g,,小田島商店,,,1,1.55
鴨パストラミ,鴨パストラミ,"1,000",g,"1,400",g,,小田島商店,,,,1.4
ベーコン,ショルダーベーコン,"1,000",g,980,g,,小田島商店,,,,0.98
ハム,ハム　２ｍｍ,"1,000",g,"1,300",g,,小田島商店,,,,1.3
牛ロース,リブロース,"1,000",g,"2,400",g,,小田島商店,,,,2.4
ウィンナー,ポークウィンナー,"1,000",g,900,g,,小田島商店,,,1,0.9
麻婆豆腐のたれ,麻婆豆腐のたれ　２ｋｇ,"2,000",g,765,g,,東味,,,1,0.3825
チリソース,チリソース　2kg,"2,000",g,765,g,,東味,,,,0.3825
スタミナ焼肉のたれ,スタミナ焼肉のたれ,"2,000",g,765,g,,東味,,,,0.3825
生姜焼きのたれ,生姜焼きのたれ,"2,000",g,765,g,,東味,,,,0.3825
塩だれ,塩だれ,"2,000",g,765,g,,東味,,,,0.3825
肉味噌風そぼろ,肉味噌風そぼろ,"2,000",g,860,g,,東味,,,,0.43
焼き鳥のたれ,B－８焼き鳥のたれ　２ｋｇ,"2,000",g,765,g,,東味,,,1,0.3825
胡麻の旨たれ,胡麻の旨たれ,"2,000",g,860,g,,東味,,,1,0.43
てりやきソース,ぬってり照り焼きのたれ,"2,000",g,765,g,,東味,,,,0.3825
万能胡麻だれ,万能胡麻だれ,"2,000",g,700,g,,東味,,,1,0.35
酢豚のたれ,酢豚のたれ,"2,000",g,750,g,,東味,,,1,0.375
オニオンソース,オニオンソース,"2,000",g,840,g,,東味,,,1,0.42
回鍋肉のたれ,回鍋肉のたれ　2kg,"2,000",ml,800,ml,,東味,,,1,0.4
バジルオイル,バジルオイル,700,g,875,g,,東味,,,1,1.25
しょうゆ　3g,しょうゆ　3g,"5,000",個,"7,250",個,,東味,,,1,1.45
中濃ソース　5g,中濃ソース　5g,"3,000",袋,"5,100",袋,,東味,,,,1.7
醤油　5g,醤油　5g,"3,000",袋,"5,100",袋,,東味,,,1,1.7
餃子のたれ　3g,餃子のたれ　3g,"3,000",袋,"5,400",袋,,東味,,,,1.8
焙煎ごま入り　かつソース７ｇ,焙煎ごま入り　かつソース７ｇ,"2,000",袋,"6,000",袋,,東味,,,1,3
柚子塩,柚子塩,"1,800",袋,"4,680",袋,,東味,,,1,2.6
しょうゆ　ドレッシング,しょうゆ　ドレッシング　4g,"1,500",袋,"6,225",袋,,東味,,,1,4.15
中華ドレッシング,中華ドレッシング,"1,500",袋,"6,225",袋,,東味,,,1,4.15
フレンチドレッシング白,フレンチドレッシング白,"1,500",袋,"6,225",袋,,東味,,,1,4.15
フレンチドレッシング赤,フレンチドレッシング赤,"1,500",袋,"6,225",袋,,東味,,,1,4.15
ノンオイル青じそドレッシング,ノンオイル青じそドレッシング,"1,500",袋,"6,525",袋,,東味,,,1,4.35
イタリアンドレッシング,イタリアンドレッシング,"1,500",袋,"6,225",袋,,東味,,,1,4.15
サウザンアイランドドレッシング,サウザンアイランドドレッシング,"1,500",袋,"6,225",袋,,東味,,,1,4.15
深煎りごまドレッシング,深煎りごまドレッシング４ｇ,"1,500",袋,"6,525",袋,,東味,,,1,4.35
マヨネーズ　4ｇ,マヨネーズ　４ｇ,"1,500",個,"6,525",個,,東味,,,1,4.35
おろし大根ポン酢　10ｇ,おろし大根ポン酢　10ｇ,"1,000",袋,"5,900",袋,,東味,,,,5.9
ポン酢しょうゆ４ｇ,ポン酢しょうゆ　４ｇ,"1,500",袋,"5,100",袋,,東味,,,1,3.4
ポン酢しょうゆ９ｇ,ポン酢しょうゆ　９ｇ,"1,000",袋,"5,400",袋,,東味,,,1,5.4
しょうゆドレッシング４ｇ,しょうゆドレッシング　４ｇ,"1,500",袋,"6,225",袋,,東味,,,1,4.15
しょうゆドレッシング７ｇ,しょうゆドレッシング　７ｇ,"1,000",袋,"5,300",袋,,東味,,,1,5.3
中華ドレッシング４ｇ,中華ドレッシング　４ｇ,"1,500",袋,"6,225",袋,,東味,,,1,4.15
中華ドレッシング７ｇ,中華ドレッシング　７ｇ,"1,000",袋,"5,300",袋,,東味,,,1,5.3
深煎りごまドレッシング 15g,深煎りごまドレッシング 15g,"1,200",袋,"10,440",袋,,東味,,,,8.7
タルタルソース　７ｇ,タルタルソース　７ｇ,"1,000",袋,"6,650",袋,,東味,,,1,6.65
マヨネーズ　7g,マヨネーズ　7g,"1,000",袋,"5,600",袋,,東味,,,1,5.6
めんつゆストレート　60ｇ,めんつゆストレート　60ｇ,280,袋,"3,920",袋,,東味,,,1,14
ごまめんつゆストレート,ごまめんつゆストレート　20ｇ,100,袋,870,袋,,東味,,,1,8.7
グリーンカール,グリーンカール　L,"1,050",g,360,g,,クィーンズファーム,,,,0.3428571429
サニーレタスAL,サニーレタス AL,350,g,140,g,,クィーンズファーム,,,,0.4
サニーレタス,サニーレタス L,"1,000",g,650,g,,クィーンズファーム,,,1,0.65
レタス,レタス,400,g,140,g,,クィーンズファーム,,,,0.35
キャベツ,キャベツ　2L,"1,000",g,200,g,,クィーンズファーム,,,,0.2
