トマトジュレ,キューピー) ジュレ仕立て(トマト酢),300,g,330,1.1,食材,10,,,0
野口 回鍋肉用,(Cook Do)  回鍋肉用  1L,1000,ml,1180,1.2,食材,10,,,0
三島）ごまあえの素,三島)ごまあえの素,500,g,660,1.3,食材,10,,,0
野口）醤油,Mサンビシ)ハンディ特級,1800,ml,230,0.1,食材,10,,,0
ミツカン追いがつお,ミツカン 追いがつお,1800,ml,580,0.3,食材,10,,,0
野口）料理酒,富永)ジェフダプラス 料理酒  1．8Ｌ,1800,ml,300,0.2,食材,10,,,0
野口）穀物酢,ＪＦＤＡ ＰＬＵＳ 穀物酢  1．8Ｌ,1800,ml,265,0.1,食材,10,,,0
野口 みりん,ジェフダプラスみりん風調味料,1800,ml,325,0.2,食材,10,,,0
野口 調合胡麻油 ポリ,JEFD)調合ごま油 ポリ,1500,ml,1180,0.8,食材,10,,,0
カンタン酢,ＭＩ)カンタン酢,1000,ml,480,0.5,食材,10,,,0
野口 中濃ソース,野口 中濃ソース (特級)1.8L,1800,ml,390,0.2,食材,10,,,0
JFDA すし酢,ＪＦＤＡ すし酢,1800,ml,630,0.4,食材,10,,,0
ジェフダオリーブオイル,ＪＦＤＡ ＥＸバージンオリーブオイル,1000,ml,645,0.6,食材,10,,,0
IFA 四川豆板醤,JEFD) 豆板醤 1ｋｇ,1000,g,495,0.5,食材,10,,,0
野口 コチュジャン,ユウキ コチュジャン,1000,g,780,0.8,食材,10,,,0
ジェフダおろし生姜,ジェフダ おろし生姜,1000,g,705,0.7,食材,10,,,0
野口 はちみつ,朝日)純粋はちみつ,1000,g,590,0.6,食材,10,,,0
塩麹,ハナマルキ業務用液体塩こうじ,500,ml,290,0.6,食材,10,,,0
SB)きざみパクチー,SB) きざみパクチー,290,g,750,2.6,食材,10,,,1
徳用デミグラソース,HZ) 徳用デミグラソース 1号缶,3000,g,1180,0.4,食材,10,,,0
カゴメトマトソース,カゴメ トマトソース 1号缶,3000,g,1130,0.4,食材,10,,,1
[不使用]カゴメ）スーゴディポモドーロ,[不使用]カゴメ)スーゴディポモドーロ,2550,g,1180,0.5,食材,10,,,1
ジャンボパウチ ミートソース,MCC) ジャンボパウチ ミートソース,3000,g,1250,0.4,食材,10,,,0
MCC)ベシャメルソース,MCC)ベシャメルソース,1000,g,620,0.6,食材,10,,,1
オマールソースベース,ＱＰ オマールソースベース,500,g,860,1.7,食材,10,,,0
ジューシーVSバーグ,B)ジューシーVSバーグ(100),50,個,2150,43.0,食材,10,,,0
クエストバーグ,日東ベスト)クエストバーグ 100g,50,個,4950,99.0,食材,10,,,1
ディッシュハンバーグ,ニチレイ)やわらかディッシュハンバーグ100g,120,個,7200,60.0,食材,10,,,1
カントリーハンバーグ120g,日東ベスト)カントリーハンバーグ120g,50,個,4350,87.0,食材,10,,,0
野口 網目ハンバーグ,野口 網目ハンバーグ 160g,30,個,2880,96.0,食材,10,,,0
エビ conical,エビconical,120,個,3360,28.0,食材,10,,,1
五穀団子,五穀団子,500,g,395,0.8,食材,10,,,1
生湯葉包み,生湯葉包み(海老とたけのこ),200,個,6400,32.0,食材,10,,,1
野口目玉,QP)SM目玉焼き風まるオムレツ 35ｇ,100,枚,2750,27.5,食材,10,,,0
定塩銀サケ 40ｇ,定塩銀サケ 40ｇ,1,切,29,29.0,食材,10,,,1
定塩トラウト鮭25ｇ,定塩トラウト 25ｇ,1,切,19,19.0,食材,10,,,1
赤魚西京,AM)赤魚西京漬  80ｇ,400,枚,38800,97.0,食材,10,,,0
さばフィーレ40,さばフィーレ 40,1,枚,94,94.0,食材,10,,,1
さば切り身40g,さば切り身40g,300,枚,9000,30.0,食材,10,,,1
PIUS助宗タラ切身,PIUS助宗タラ切身,5,枚,315,63.0,食材,10,,,0
ＡＦ）カットインゲン,フェイス)インゲンカット,500,g,170,0.3,食材,10,,,0
IFA)レンコン乱切り,(IFA)レンコン乱切り,500,g,160,0.3,食材,10,,,1
たけのこ乱切り,(大洋A＆F)たけのこ乱切り,10000,g,2800,0.3,食材,10,,,1
野口 しいたけ,IFA) 冷凍椎茸ホール(M) 500ｇ,500,g,235,0.5,食材,10,,,1
野口 ブロッコリー,TOE) ブロッコリー IQF 500g,500,g,215,0.4,食材,10,,,0
野口 きぬさや,ＩＦＡ) 中国産きぬさや,500,g,270,0.5,食材,10,,,0
ＩＷ）カットアスパラ,IW) カットアスパラ(中国産),500,g,480,1.0,食材,10,,,1
カリフラワー,フェイス)カリフラワー,500,g,145,0.3,食材,10,,,0
野口 アスパラ,大洋AF) グリーンアスパアラ M,500,g,570,1.1,食材,10,,,0
きのこミックス,神栄)中国きのこミックス,500,g,245,0.5,食材,10,,,0
飾り人参,三島) 飾り人参 (桜),70,g,285,4.1,食材,10,,,1
菜の花,フラッシュアイ)自然解凍シリーズ菜の花,500,g,205,0.4,食材,10,,,0
野口 ミックスベジ,IW)ミックスベジタブル (USA),1000,g,295,0.3,食材,10,,,0
ＩＦＡ 味付ザーサイ,ＩＦＡ 味付ザーサイ  1㎏,1000,g,765,0.8,食材,10,,,1
アーベストビビンバ,アーベストビビンバ,1000,g,545,0.5,食材,10,,,0
4種豆のミックス,4種豆のミックス,1000,g,715,0.7,食材,10,,,0
ミックスビーンズ,ＱＰ) ほしえぬ ミックスビーンズ,1000,g,650,0.7,食材,10,,,0
カリカリ小梅,IFA) カリカリ小梅 (S) 1ｋｇ,1000,g,680,0.7,食材,10,,,0
マルカン）紅生姜,JEFD)紅生姜(N),1000,g,310,0.3,食材,10,,,0
福神漬,福神漬,1000,g,130,0.1,食材,10,,,0
（河鶴）桜漬,(河鶴)桜漬,2000,g,200,0.1,食材,10,,,1
（河鶴）千切沢庵,(河鶴)千切沢庵,2000,g,200,0.1,食材,10,,,1
ヤングコーン缶,ヤングコーン缶 3号缶,21,本,175,8.3,食材,10,,,0
シャキッとコーン,はごろも)シャキッとコーンEO,285,g,125,0.4,食材,10,,,0
わかめごはんの素,ＪＦＤＡわかめごはんの素 300ｇ,300,g,690,2.3,食材,10,,,0
三島）ゆかり,野口 三島)ゆかり,200,g,505,2.5,食材,10,,,0
バター醤油ピラフ,三島)ビュッフェごはんベース バター醤油ピラフ,700,g,1020,1.5,食材,10,,,0
桜えびごはんの素,三島) ビュッフェごはんベース桜えびの香り,500,g,1020,2.0,食材,10,,,0
黒胡麻,JFDA  煎り胡麻 (黒),1000,g,610,0.6,食材,10,,,1
白胡麻,JFDA 煎りごま (白),1000,g,610,0.6,食材,10,,,1
IFA) 片栗粉,IFA) 北海道産片栗粉,1000,g,227,0.2,食材,10,,,0
JFDA 薄力粉,ＪＦＤＡ 薄力粉 きさらぎ,1000,g,165,0.2,食材,10,,,0
野口）カレーフレーク (中辛,SB)とろけるカレーフレーク中辛,1000,g,550,0.6,食材,10,,,0
SB)カレーフレーク辛口,SB)とろけるカレーフレーク辛口,1000,g,650,0.7,食材,10,,,0
金柑 S,GFC) 黄金きんかｎ S,55,個,1225,22.3,食材,10,,,0
アーモンドスライス,GFC)  アーモンドスライス,500,g,1630,3.3,食材,10,,,0
パンプキンサラダ,ケンコー)パンプキンサラダ,1000,g,605,0.6,食材,10,,,0
スタッフドオリーブ,SO) スタッフドオリーブ,230,g,340,1.5,食材,10,,,0
きな粉,みたけ  きな粉,1000,g,420,0.4,食材,10,,,1
パンプキンシート,パンプキンシート (生),1000,g,2650,2.7,食材,10,,,0
フライドレンコン,ＱＰ フライドレンコン,100,g,625,6.3,食材,10,,,0
カシューナッツ,ヨコカン  カシューナッツ,420,g,1090,2.6,食材,10,,,0
野口 スパゲティー,VFJ)スパゲティー(1.6mm),1000,g,212,0.2,食材,10,,,0
ペンネ,ＩＦＡ ラティーニ ペンネ,1000,g,230,0.2,食材,10,,,0
ジェフダマヨネーズ,ジェフダプラスマヨタイプ50,1000,g,300,0.3,食材,10,,,1
JFDA タルタルソース,JFDA タルタルソース,1000,g,420,0.4,食材,10,,,0
野口 緑豆春雨,緑豆春雨(18ｃｍカット),500,g,260,0.5,食材,10,,,0
弁当用焼海苔,弁当用焼海苔(1/2)  100枚束,100,枚,760,7.6,食材,10,,,0
QP) 青じそドレッシング,ＱＰ) ノンオイルドレ(青じそ) 15ml,1,個,9,9.0,食材,10,,,0
野口 小袋醤油,ＹＭＳ) 本醸造醤油ミニパック,100,個,200,2.0,食材,10,,,0
理研農産）キャノーラ油,理研農産) キャノーラ油,16500,g,2440,0.1,食材,10,,,1
ゆず入りきのこ囃子,ゆず入りきのこ囃子,1000,g,1070,1.1,食材,10,,,0
大根と蒸し鶏の怪味ソースサラダ,F120大根と蒸し鶏の怪味ソースサラダ,900,g,875,1.0,食材,10,,,0
冷凍彩りアスパラお浸し,冷凍彩りアスパラお浸し,500,g,540,1.1,食材,10,,,0
