ﾊｲﾝﾂ ｼｬﾘｱﾋﾟﾝｿｰｽ,ﾊｲﾝﾂ ｼｬﾘｱﾋﾟﾝｿｰｽ,1110,g,910,0.8,食材,10,,,0
ﾊｲﾝﾂ 和風おろしソース,ﾊｲﾝﾂ 和風おろしソース,1110,g,910,0.8,食材,10,,,0
食研 チリソース,チリソース 2㎏,2000,g,1260,0.6,食材,17,,,0
ブロッコリー （ 生 ）,ブロッコリー,170,g,130,0.8,食材,16,,,0
オクラ （ 生 ）,オクラ,105,g,90,0.9,食材,16,,1本　11g目安,0
ホッキサラダ,ホッキサラダ(カナダホッキ),1000,g,1860,1.9,食材,17,,,0
かに風味ｻﾗﾀﾞ,かに風味サラダ 冷凍,1000,g,1460,1.5,食材,17,,,0
白身フライ 80g,白身フライ 80g,150,枚,4755,31.7,食材,2,,,0
アジフライ 100g,あじフライ 100g,120,枚,5160,43.0,食材,2,,,0
ラー油,石本)ラー油,1000,ml,980,1.0,食材,10,,１L×６から取り寄せ品,0
チョレギサラダシーズニング,SB)チョレギサラダシーズニング,100,g,355,3.6,食材,10,,100ｇ×１０　取り寄せ品,0
チョレギサラダドレッシング,QP)チョレギサラダドレッシング,1000,ml,475,0.5,食材,10,,1L×9  取り寄せ品,0
人参シャトーカット,人参シャトーカット(北海道産),1000,g,605,0.6,食材,10,,１ｋｇ×１２袋　　取り寄せ品,0
河鶴）しば漬,河鶴) しば漬,1000,g,141,0.1,食材,10,,,0
うの花,(ﾁﾙﾄﾞ)うの花(美味百菜),1000,g,525,0.5,食材,2,,,0
豚竜田揚げ,豚竜田揚げ 冷凍,1000,g,1450,1.5,食材,17,,,0
酢豚ｿｰｽ 食研,酢豚ｿｰｽ,2000,g,1320,0.7,食材,17,,,0
酢豚の具,酢豚の具,1000,g,950,1.0,食材,17,,,0
豚角煮,豚角煮 冷凍,1000,g,1950,2.0,食材,17,,,0
湯葉細巻き,湯葉細巻き 冷凍,400,個,15200,38.0,食材,17,,,0
れんこんはさみ揚げ,れんこんはさみ揚げ,300,個,12000,40.0,食材,17,,,0
茄子はさみ揚げ,茄子はさみ揚げ,400,個,10400,26.0,食材,17,,,0
ぽん酢ジュレ,ぽん酢ジュレ 540g,540,g,520,1.0,食材,17,,,0
中華くらげ,中華くらげ 冷凍,500,g,675,1.4,食材,17,,,0
えび餃子  20g,えび餃子 20g 冷凍,400,個,16000,40.0,食材,17,,,0
抹茶塩 2g,抹茶塩 2g,100,個,1210,12.1,食材,17,,,0
スモークチキンのマリネ,スモークチキンのマリネ 冷凍,500,g,650,1.3,食材,17,,,0
揚げ茄子乱切り,揚げ茄子乱切り(ベトナム産),500,g,265,0.5,食材,10,,５００ｇ×２０袋,1
人参乱切り,AF) 人参乱切り,1000,g,245,0.2,食材,10,,１０００ｇ×１０袋,1
乱切りかぼちゃ,SNE)中国産乱切りかぼちゃ,500,g,130,0.3,食材,10,,５００ｇ×２０袋 １ｐｃ１５こ計算,0
蓮根スライス,IFA)蓮根スライス(Ｍ),500,g,165,0.3,食材,10,,５００ｇ×２０袋,0
千切りピーマン,神栄)千切りピーマン,500,g,138,0.3,食材,10,,５００ｇ×２０袋,1
フェイス）揚げなす乱切り,フェイス)揚げなす乱切り,500,g,138,0.3,食材,10,,５００ｇ×２０袋,0
河鶴）青きゅうり,河鶴)青きゅうり,1000,g,141,0.1,食材,10,,１０００ｇ×１６袋,0
河鶴）赤きゅうり,河鶴)赤きゅうり,1000,g,141,0.1,食材,10,,１０００ｇ×１６袋,0
河鶴）壺漬,河鶴)壺漬,1000,g,141,0.1,食材,10,,１０００ｇ×１６袋,0
河鶴）千切り沢庵,河鶴)千切り沢庵,1000,g,125,0.1,食材,10,,１０００ｇ×１６袋,0
河鶴）桜漬,河鶴)桜漬,1000,g,125,0.1,食材,10,,１０００ｇ×１６袋,0
河鶴）福神漬,河鶴)福神漬,1000,g,125,0.1,食材,10,,１０００ｇ×１６袋,0
刻みごぼう,刻みごぼう,1000,g,400,0.4,食材,16,,,0
白滝200g,白滝(200ｇ),200,g,55,0.3,食材,16,,,0
ＨＭ）塩こうじ,ＨＭ)塩こうじ,230,g,230,1.0,食材,10,,230ｇ×1２本　　取寄せ品,0
ＮＫＲ 新こつぶがんも 10,ＮＫＲ 新こつぶがんも 10,100,個,710,7.1,食材,10,,１つ１０ｇの100個入　販売単位１ｐｃ,0
旬菜膳菜 うの花,旬菜膳菜 うの花,1000,g,605,0.6,食材,10,,,0
ぼんじり,ぼんじり,1000,g,650,0.7,食材,13,,,0
ＶＦＪ）カットほうれん草,ＶＦＪ)カットほうれん草(ＩＱＦ),500,g,158,0.3,食材,10,,,0
厨房 やきとりのたれ,厨房応援団 やきとりのたれ,1000,ml,690,0.7,食材,10,,取り寄せ品　4日前に発注1ｃｓ6本,0
チーズソース パルメザン,チーズソース パルメザン,300,ml,285,1.0,食材,1,,取り寄せ品　１ｃｓ２４入り,0
チーズソース クアトロフォルマッジョ,チーズソース クアトロフォルマッジョ,300,ml,375,1.3,食材,1,,取り寄せ品　１ｃｓ２４入り,0
えごま,えごま,10,枚,95,9.5,食材,16,,１ｐｃ10枚入り,0
ローズマリーパウダー,ローズマリーパウダー(Ｍ缶),150,g,355,2.4,食材,10,,,0
磯ワカメ,太堀)磯ワカメ,1000,g,720,0.7,食材,10,,１ｋｇ×１５袋　取り寄せ品,0
青唐たけのこ,太堀)青唐たけのこ,1000,g,690,0.7,食材,10,,１ｋｇ×１２袋　取り寄せ品,0
笹がき牛蒡甘辛漬,太堀)笹がき牛蒡甘辛漬,1000,g,660,0.7,食材,10,,１ｋｇ×１５袋　取り寄せ品,0
子持ち木耳生姜味,太堀)子持ち木耳生姜味,1000,g,690,0.7,食材,10,,１ｋｇ×１５袋　取り寄せ品,0
わさび菜おひたし,ＯＲ)わさび菜おひたし,1000,g,680,0.7,食材,10,,１ｋｇ×１５袋　取り寄せ品,0
やわらか葱メンマ,太堀)やわらか葱メンマ,900,g,880,1.0,食材,10,,９００ｇ×6袋×2合　取り寄せ品,0
塩ねぎエリンギ,塩ねぎエリンギ,900,g,1050,1.2,食材,10,,９００ｇ×6袋×2合　取り寄せ品,0
甘酢高菜生姜,甘酢高菜生姜,1000,g,790,0.8,食材,10,,1ｋｇ×6袋×2合　取り寄せ品,0
しそ梅,みなべ)しそ梅,300,g,700,2.3,食材,10,,３００ｇ×１２ｐｃ　取り寄せ品,1
チキンチーズ大葉巻,チキンチーズ大葉巻 冷凍 Ｒ,240,個,13920,58.0,食材,17,,（２０ヶ×6袋）×２合,0
揚げ茄子,揚げ茄子(タイ産),1000,g,530,0.5,食材,10,,１ｋｇ×１０　　　1袋から,0
栗かぼちゃコロッケ,栗かぼちゃコロッケ,100,個,1670,16.7,食材,2,,100×２から,0
おにぎり梅干しそ漬,おにぎり梅干しそ漬M角カップ,1000,g,850,0.9,食材,1,,１ｋ×６から　１つ８ｇぐらい,0
豚ももスライス 2．5ｍｍ,豚ももスライス2．5ｍｍ,1000,g,650,0.7,食材,13,,,0
料理店・レストラン味噌,料理店・レストラン味噌(白),1000,g,188,0.2,食材,10,,１ｋｇ×１０袋　　1袋から,0
